Escherichia coli
Bacillus subtilis
Thermus thermophilus
Thermotoga maritima
Deinococcus radiodurans
Aquifex aeolicus
Synechocystis sp. PCC 6803
Mycobacterium tuberculosis
Pseudomonas aeruginosa
Helicobacter pylori
Campylobacter jejuni
Chlamydia trachomatis
Rickettsia prowazekii
Borrelia burgdorferi
Treponema pallidum
Methanocaldococcus jannaschii
Pyrococcus furiosus
Thermococcus kodakarensis
Sulfolobus acidocaldarius
Archaeoglobus fulgidus
Halobacterium salinarum
Methanothermobacter thermautotrophicus
Pyrobaculum aerophilum
Nanoarchaeum equitans
Thermoplasma acidophilum
Homo sapiens
Mus musculus
Danio rerio
Drosophila melanogaster
Caenorhabditis elegans
Saccharomyces cerevisiae
Schizosaccharomyces pombe
Candida albicans
Plasmodium falciparum
Trypanosoma brucei
Leishmania major
Dictyostelium discoideum
Arabidopsis thaliana
Oryza sativa
Chlamydomonas reinhardtii
